Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
396,2011-10-26,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-27,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-28,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-29,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-30,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-10-31,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-01,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-02,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-03,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-04,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-05,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-06,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-07,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-08,1.5,26.7,23.5,25.18,0,0,320.90 NO,,<null>,32.5,<null>,<null>,
396,2011-11-09,0,<null>,<null>,<null>,0,0,321.80 NO,322.00 NO,<null>,<null>,<null>,<null>,
396,2011-11-10,0,<null>,<null>,<null>,0,0,325.30 NO,327.50 NO,<null>,4.44,<null>,<null>,
396,2011-11-11,0.6,<null>,<null>,<null>,0,0,305.10 O,308.80 O,<null>,13.81,<null>,<null>,
396,2011-11-12,0,<null>,<null>,<null>,0,0,326.60 NO,320.50 NO,<null>,9.28,<null>,<null>,
396,2011-11-13,0,<null>,<null>,<null>,0,0,324.20 NO,325.20 NO,<null>,2.28,<null>,<null>,
396,2011-11-14,0,<null>,<null>,<null>,0,0,325.30 NO,330.90 NO,<null>,<null>,<null>,<null>,
396,2011-11-15,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-16,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-17,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-18,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-19,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-20,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-21,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-22,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-23,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-24,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-25,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-26,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-27,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-28,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-11-29,0,<null>,<null>,<null>,0,0,323.90 NO,324.10 NO,<null>,<null>,<null>,<null>,
396,2011-11-30,0,<null>,<null>,<null>,0,0,325.30 NO,325.90 NO,<null>,<null>,<null>,<null>,
396,2011-12-01,0,<null>,<null>,<null>,0,0,320.00 NO,322.20 NO,<null>,<null>,<null>,<null>,
396,2011-12-02,0,<null>,<null>,<null>,0,0,323.10 NO,323.50 NO,<null>,<null>,<null>,<null>,
396,2011-12-03,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-12-04,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-12-05,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-12-06,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-12-07,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-12-08,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
396,2011-12-09,<null>,<null>,<null>,<null>,<null>,<null>,0.00 N, NE,<null>,<null>,<null>,<null>,
